Shape of X [N, C, H, W]: torch.Size([1024, 4])
Shape of y: torch.Size([1024, 4]) torch.float32
Using mps device
dSMSPredictorNN(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (linear_relu_stack): Sequential(
    (0): Linear(in_features=4, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=32, bias=True)
    (3): ReLU()
    (4): Linear(in_features=32, out_features=4, bias=True)
  )
)
Epoch 1
-------------------------------
loss: 0.051428  [ 1024/5060099]
loss: 0.050795  [11264/5060099]
loss: 0.050417  [21504/5060099]
loss: 0.052027  [31744/5060099]
loss: 0.051469  [41984/5060099]
loss: 0.049387  [52224/5060099]
loss: 0.048578  [62464/5060099]
loss: 0.050549  [72704/5060099]
loss: 0.050352  [82944/5060099]
loss: 0.049302  [93184/5060099]
loss: 0.048901  [103424/5060099]
loss: 0.047626  [113664/5060099]
loss: 0.048332  [123904/5060099]
loss: 0.047946  [134144/5060099]
loss: 0.047649  [144384/5060099]
loss: 0.048674  [154624/5060099]
loss: 0.047280  [164864/5060099]
loss: 0.048010  [175104/5060099]
loss: 0.047325  [185344/5060099]
loss: 0.046087  [195584/5060099]
loss: 0.045374  [205824/5060099]
loss: 0.046005  [216064/5060099]
loss: 0.047678  [226304/5060099]
loss: 0.047342  [236544/5060099]
loss: 0.045495  [246784/5060099]
loss: 0.045273  [257024/5060099]
loss: 0.045491  [267264/5060099]
loss: 0.046620  [277504/5060099]
loss: 0.044950  [287744/5060099]
loss: 0.045377  [297984/5060099]
loss: 0.043894  [308224/5060099]
loss: 0.045317  [318464/5060099]
loss: 0.045557  [328704/5060099]
loss: 0.043663  [338944/5060099]
loss: 0.043578  [349184/5060099]
loss: 0.042082  [359424/5060099]
loss: 0.042891  [369664/5060099]
loss: 0.041309  [379904/5060099]
loss: 0.042440  [390144/5060099]
loss: 0.042439  [400384/5060099]
loss: 0.042640  [410624/5060099]
loss: 0.041373  [420864/5060099]
loss: 0.042293  [431104/5060099]
loss: 0.040816  [441344/5060099]
loss: 0.041359  [451584/5060099]
loss: 0.040709  [461824/5060099]
loss: 0.040763  [472064/5060099]
loss: 0.039275  [482304/5060099]
loss: 0.040958  [492544/5060099]
loss: 0.040684  [502784/5060099]
loss: 0.041128  [513024/5060099]
loss: 0.042380  [523264/5060099]
loss: 0.040304  [533504/5060099]
loss: 0.039947  [543744/5060099]
loss: 0.040267  [553984/5060099]
loss: 0.040130  [564224/5060099]
loss: 0.040293  [574464/5060099]
loss: 0.037860  [584704/5060099]
loss: 0.039423  [594944/5060099]
loss: 0.039184  [605184/5060099]
loss: 0.040088  [615424/5060099]
loss: 0.039878  [625664/5060099]
loss: 0.038367  [635904/5060099]
loss: 0.038865  [646144/5060099]
loss: 0.038321  [656384/5060099]
loss: 0.038240  [666624/5060099]
loss: 0.038618  [676864/5060099]
loss: 0.038108  [687104/5060099]
loss: 0.037204  [697344/5060099]
loss: 0.039008  [707584/5060099]
loss: 0.038122  [717824/5060099]
loss: 0.038656  [728064/5060099]
loss: 0.036483  [738304/5060099]
loss: 0.037416  [748544/5060099]
loss: 0.039189  [758784/5060099]
loss: 0.035632  [769024/5060099]
loss: 0.037379  [779264/5060099]
loss: 0.035140  [789504/5060099]
loss: 0.036196  [799744/5060099]
loss: 0.034966  [809984/5060099]
loss: 0.037075  [820224/5060099]
loss: 0.036327  [830464/5060099]
loss: 0.034339  [840704/5060099]
loss: 0.035623  [850944/5060099]
loss: 0.035105  [861184/5060099]
